"","GAP"
"727",49536.0666666667
"728",26177.3666666667
"729",9254.63333333333
"730",19920.6333333333
"731",32736.4666666667
"732",23444.8666666667
"733",38791.8333333333
"734",31891.6
"735",32333.2333333333
"736",26733.3333333333
"737",28164.3666666667
"738",34671.2
"739",27221.1666666667
"740",29811.7
"741",35049.1333333333
"742",32933.1333333333
"743",26487.9666666667
"744",36376.6666666667
"745",29696.5333333333
"746",26067.8
"747",46109.2333333333
"748",55297
"749",52569.9
"750",28331.1
"751",28967.1333333333
"752",28990.5666666667
"753",20622.6
"754",31842.2666666667
"755",36679.5
"756",47394.4
"757",27907.8666666667
"758",23750.5
"759",45362.2333333333
"760",26228.3
"761",34317.3
"762",55214.2
"763",30462.5333333333
"764",26721.6666666667
"765",31139.8333333333
"766",41015.4
"767",27484.8
"768",34139.9333333333
"769",52192.2666666667
"770",36381.1
"771",28443.9666666667
"772",32397.0333333333
"773",43989.8333333333
"774",32811
"775",28167.0333333333
"776",38922.1666666667
"777",26433.8666666667
"778",21983.2333333333
"779",13225.1
"780",13774.1666666667
"781",12287.8
"782",31345.6
"783",21936.4
"784",37307.9666666667
"785",45560.9333333333
"786",29719.0666666667
"787",19497.4
"788",19280.8666666667
"789",33815.3
"790",27179.1666666667
"791",41209.2333333333
"792",24624.0333333333
"793",30815.8666666667
"794",30702.1666666667
"795",24030.2
"796",29724.5666666667
"797",28274.4333333333
"798",39286.1
"799",28092.6
"800",30603.5
"801",40098.4
"802",31454.3333333333
"803",24092
"804",35817.1333333333
"805",32367.7
"806",22300.7
"807",32198.5
"808",24178
"809",19858.8666666667
"810",24398.4333333333
"811",32167.0333333333
"812",28152.8333333333
"813",21607.5
"814",27695.2
"815",30646.2333333333
"816",20183.4
"817",28565.4333333333
"818",37682.9333333333
"819",36944.1666666667
"820",24624.2
"821",30391.3666666667
"822",27352.3333333333
"823",27405.5666666667
"824",22721
"825",36520.5333333333
"826",22928.6
"827",24210.5666666667
"828",24001.5333333333
"829",25576.6666666667
"830",31507.8666666667
"831",30701.9
"832",41040.7666666667
"833",35683.5333333333
"834",26665.4
"835",25025.6333333333
"836",20267.7
"837",26075.4
"838",34046.8333333333
"839",25204.4333333333
"840",21441.1333333333
"841",24775.1666666667
"842",31576.6333333333
"843",24936.6333333333
"844",19024.3333333333
"845",19900.8
"846",33704.7333333333
"847",29693.7666666667
"848",22527.1333333333
"849",28439.7666666667
"850",27744.6666666667
"851",30579.3666666667
"852",25213.3666666667
"853",23231.8333333333
"854",26814.6333333333
"855",27798.0333333333
"856",28857.9
"857",22498.3666666667
"858",16877.4666666667
"859",30952.6
"860",21022.5333333333
"861",32793.9
"862",25286.2666666667
"863",27099.2666666667
"864",20773.3
"865",26783.0666666667
"866",23703.7666666667
"867",33456.3
"868",25729.4
"869",20165.1
"870",26955.7333333333
"871",21786.0333333333
"872",26252.5
"873",17913.4333333333
"874",25509.9666666667
"875",21463.1
"876",22568.2666666667
"877",22314.9666666667
"878",25738.2
"879",19662.2666666667
"880",20714.1
"881",27651.7666666667
"882",15948.1666666667
"883",24054.3333333333
"884",18177.3
"885",22609.6333333333
"886",17261
"887",20506
"888",24590.8333333333
"889",20123.2
"890",19646.2666666667
"891",22214.1666666667
"892",26716.6
"893",21677.5
"894",18362.2
"895",236.966666666667
"896",0
"897",12865.1333333333
"898",25146.5333333333
"899",16466.9333333333
"900",19428.3333333333
"901",18114.4333333333
"902",18451.6666666667
"903",14252.3666666667
"904",18234.9666666667
"905",17320.2333333333
"906",25581.2333333333
"907",12856.0333333333
"908",21288.7
"909",28484.2
"910",17656.5666666667
"911",16835.5666666667
"912",19874.1
"913",20305.7
"914",20709.6333333333
"915",14402.4666666667
"916",20642.8
"917",23512.2666666667
"918",15904.3333333333
"919",18502.2666666667
"920",20573.3333333333
"921",14104.2
"922",19877.4333333333
"923",16566.1333333333
"924",8557.96666666667
"925",8279.1
"926",15190.5
"927",11967.9
"928",9992.56666666667
"929",12196.8
"930",16106.8333333333
"931",20060.7333333333
"932",11041.4333333333
"933",13562.7
"934",12325.5333333333
"935",17166.6666666667
"936",9362.3
"937",8944.8
"938",9050.26666666667
"939",11476.1
"940",15047.5
"941",15033.3333333333
"942",13205.4333333333
"943",16263.8333333333
"944",11782.7666666667
"945",8162.06666666667
"946",8338.3
"947",8481.53333333333
"948",8644.2
"949",8877.86666666667
"950",8988.26666666667
"951",8774.53333333333
"952",16637.2333333333
"953",17822.6333333333
"954",15849.2333333333
"955",13740.6
"956",10114.0333333333
"957",12477.9333333333
"958",25234.3666666667
"959",20295.2
"960",13098.4666666667
"961",18009.9666666667
"962",14679.0333333333
"963",12928.7
"964",19362.4333333333
"965",25812.3
"966",17778.4666666667
"967",20870.9
"968",15726.8333333333
"969",18942.4333333333
"970",12491.1
"971",18647.3666666667
"972",23140.2333333333
"973",27805.7
"974",21092.0333333333
"975",16342.2666666667
"976",20380.2333333333
"977",20853.1333333333
"978",17073.1333333333
"979",25231.1
"980",20477.1666666667
"981",20357.6333333333
"982",18104.2333333333
"983",25355.7333333333
"984",18539.2333333333
"985",20235.7666666667
"986",34405.9666666667
"987",26193.6
"988",26247.6333333333
"989",24280.1
"990",29052.7
"991",20390.4333333333
"992",22900.5333333333
"993",35595.1666666667
"994",33922.1333333333
"995",23631.1333333333
"996",20775.6
"997",27276.8333333333
"998",23770.9666666667
"999",19350.2666666667
"1000",25937.5666666667
"1001",23507.8666666667
"1002",21657.6
"1003",19106.6333333333
"1004",29601.5333333333
"1005",21454.2
"1006",19211.1333333333
"1007",28612.3333333333
"1008",27018.4333333333
"1009",21258.7
"1010",23807.4666666667
"1011",30363.9
"1012",26286.1
"1013",22531.0333333333
"1014",33545.9333333333
"1015",32315.6
"1016",22526.7333333333
"1017",24151.6666666667
"1018",28520.4
"1019",24832.9333333333
"1020",25281
"1021",45701.3333333333
"1022",25936.0666666667
"1023",22818.4666666667
"1024",28713.4666666667
"1025",32825.1
"1026",23328.5
"1027",29290.8333333333
"1028",43573.4666666667
"1029",40108.9333333333
"1030",18539.0666666667
"1031",18612.6
"1032",21145.1333333333
"1033",33024
"1034",24889.3
"1035",31265.7
"1036",30719.4666666667
"1037",25070.4333333333
"1038",37778.1333333333
"1039",30030
"1040",26007.7666666667
"1041",23174.1666666667
"1042",25952.9333333333
"1043",41800.0333333333
"1044",23461.6666666667
"1045",26769.7333333333
"1046",34008
"1047",24384.4333333333
"1048",25548.7666666667
"1049",42674.2666666667
"1050",32788.4666666667
"1051",25241.1333333333
"1052",28471.5666666667
"1053",43986.2333333333
"1054",24580.8
"1055",32683.6
"1056",41614.2666666667
"1057",40849.6
"1058",24518.7
"1059",35480.9333333333
"1060",33002.1666666667
"1061",26660.4333333333
"1062",23000.4333333333
"1063",30982.5
"1064",27516.0333333333
"1065",29086.5
"1066",29272.9666666667
"1067",39094.4666666667
"1068",24661.4666666667
"1069",28521.5666666667
"1070",39196.0333333333
"1071",39638.1333333333
"1072",29043.9666666667
"1073",33448.0666666667
"1074",30039.2666666667
"1075",34300.7
"1076",29741.0333333333
"1077",30273
"1078",35646.9
"1079",29914.3666666667
"1080",32335.2666666667
"1081",23247.9
"1082",28619.7
"1083",29078.4333333333
"1084",36738.9
"1085",19069.4333333333
"1086",33916.1
"1087",31467.0333333333
"1088",24253.3333333333
"1089",48431.5666666667
"1090",35460.8
"1091",36393.6333333333
"1092",36590.8666666667
"1093",34901.6333333333
"1094",34132.8
"1095",40851.8333333333
"1096",36864.8666666667
"1097",20404.2
"1098",21863.4333333333
"1099",34724.2333333333
"1100",26735.5333333333
"1101",36996.3333333333
"1102",29619.6666666667
"1103",29490.7
"1104",29953.4666666667
"1105",38948.3333333333
"1106",41807.7666666667
"1107",25311.4
"1108",21375.6333333333
"1109",0
"1110",10308.1333333333
"1111",36612.6666666667
"1112",35835.2
"1113",31775.9333333333
"1114",31351.6333333333
"1115",40558.4666666667
"1116",39195.4666666667
"1117",35630.9333333333
"1118",29843.7666666667
"1119",43525.0333333333
"1120",37823.6666666667
"1121",32175.1666666667
"1122",34459.4
"1123",46015.0333333333
"1124",35170.5666666667
"1125",34883.1666666667
"1126",47378.8
"1127",29986.6
"1128",28229.6333333333
"1129",35957.2
"1130",48383.5666666667
"1131",38604.5
"1132",34981.5333333333
"1133",45216.4333333333
"1134",27095.1333333333
"1135",43037.3
"1136",40348.8666666667
"1137",32469.9333333333
"1138",22829.4666666667
"1139",31549.9666666667
"1140",39192.6
"1141",28139.1666666667
"1142",34952.2
"1143",29962.6
"1144",34242.6666666667
"1145",29352.6
"1146",32559.5333333333
"1147",33062.1333333333
"1148",45671.9
"1149",24567.2666666667
"1150",24354.6666666667
"1151",31904.6333333333
"1152",31336.7333333333
"1153",35335.9333333333
"1154",29417.6
"1155",11861.1
"1156",21645.4666666667
"1157",12781.7666666667
"1158",15597.2333333333
"1159",11381.3333333333
"1160",18895.4333333333
"1161",13245.2
"1162",22874.5333333333
"1163",42618.3
"1164",29335.2
"1165",30377.2
"1166",32518.1666666667
"1167",27423.7333333333
"1168",39716.8333333333
"1169",26111.9
"1170",29864.1666666667
"1171",25710.8333333333
"1172",33485.5
"1173",26044.7
"1174",27723.0666666667
"1175",2195.53333333333
"1176",15288.0333333333
"1177",26976.5
"1178",30369.3666666667
"1179",33245.8666666667
"1180",27998.0666666667
"1181",27521.4
"1182",30799.5
"1183",29970.2333333333
"1184",27045.6333333333
"1185",31774.2333333333
"1186",32063.3666666667
"1187",28124
"1188",27477.0333333333
"1189",30087.9666666667
"1190",28173.1333333333
"1191",18647
"1192",30430.8666666667
"1193",26616.3666666667
"1194",27487
"1195",20555.8333333333
"1196",19836.8
"1197",26719.2
"1198",23990.4333333333
"1199",25211.7333333333
"1200",27672.7333333333
"1201",31202.9666666667
"1202",26034.3666666667
"1203",25961.8666666667
"1204",24601.7666666667
"1205",28476.5666666667
"1206",30560.4666666667
"1207",26331.9
"1208",24348.4
"1209",19675.6
"1210",25306.9666666667
"1211",25712.3666666667
"1212",18045.2666666667
"1213",20849
"1214",14464.3
"1215",18395.4
"1216",18643.8
"1217",22002.6333333333
"1218",36465.1666666667
"1219",23521.7
"1220",25282.6666666667
"1221",30088.4666666667
"1222",21654.1666666667
"1223",27400.0666666667
"1224",25557.0333333333
"1225",26108.5
"1226",24464.8666666667
"1227",26189.4666666667
"1228",33923.6333333333
"1229",25904.4333333333
"1230",28702.4333333333
"1231",32412.8666666667
"1232",35007.1
"1233",27136.3666666667
"1234",23686.4
"1235",23779.2
"1236",19231.6333333333
"1237",21573.2666666667
"1238",34929.5333333333
"1239",24792.6
"1240",22355.5333333333
"1241",19977.1
"1242",23131.4
"1243",22055.7
"1244",23302.7333333333
"1245",34163.4666666667
"1246",27761.6666666667
"1247",22341.0333333333
"1248",21149.4
"1249",16348.3
"1250",23236.4333333333
"1251",23675.9
"1252",33494.0666666667
"1253",29113.2
"1254",16868.0333333333
"1255",22700.5666666667
"1256",25578.0333333333
"1257",20253.1666666667
"1258",24511.2
"1259",32907.3666666667
"1260",27905.9333333333
"1261",20299.7333333333
"1262",20399.4333333333
"1263",29468.2
"1264",17133.6333333333
"1265",22205.2666666667
"1266",23603.6666666667
"1267",27875.8333333333
"1268",27681.5
"1269",25343.1333333333
"1270",24034.4
"1271",18263
"1272",18323.9666666667
"1273",16360.3333333333
"1274",18999.4
"1275",24522.3333333333
"1276",22800.1333333333
"1277",23068.9333333333
"1278",22483.3666666667
"1279",19015.4666666667
"1280",18667.9
"1281",25634.8
"1282",18566.5
"1283",16765.5666666667
"1284",13913.1333333333
"1285",20210.8666666667
"1286",18057.9666666667
"1287",19241.7333333333
"1288",19892.8666666667
"1289",18492.9
"1290",23035.2333333333
"1291",23491.2
"1292",27263.6
"1293",13667.6
"1294",13439.2
"1295",13533.9666666667
"1296",13352.6333333333
"1297",14263.7333333333
"1298",17736.1
"1299",19407.4333333333
"1300",19602.6333333333
"1301",15361.1333333333
"1302",18840.1666666667
"1303",14735.8333333333
"1304",15872.6666666667
"1305",14377.5666666667
"1306",9151.73333333333
"1307",9187.66666666667
"1308",9243.6
"1309",9261.06666666667
"1310",9158.03333333333
"1311",10253.5333333333
"1312",9055.93333333333
"1313",8891.26666666667
"1314",8745.76666666667
"1315",8791.26666666667
"1316",8807.66666666667
"1317",8917.73333333333
"1318",9079.3
"1319",9033.36666666667
"1320",8828.3
"1321",8904.9
"1322",9237.83333333333
"1323",17599.7666666667
"1324",18828.8333333333
"1325",16303.3666666667
"1326",0
"1327",0
"1328",0
"1329",0
"1330",1555.63333333333
"1331",12760.9666666667
"1332",12049.1333333333
"1333",16340.1333333333
"1334",12620.8666666667
"1335",33844.1666666667
"1336",24047.6
"1337",27808
"1338",24913.3666666667
"1339",22751.7666666667
"1340",26555.3
"1341",23208.2
"1342",22440.2333333333
"1343",29064
"1344",22050.3
"1345",23714.6
"1346",24197.5666666667
"1347",21730.2
"1348",20645.2333333333
"1349",22135.1333333333
"1350",24388.5
"1351",26868.2
"1352",17938.6666666667
"1353",23844.6333333333
"1354",16434.9
"1355",22328.9666666667
"1356",24960.1333333333
"1357",20799.1
"1358",15326.6666666667
"1359",28047.2
"1360",18522.9333333333
"1361",25173.2333333333
"1362",24164.3666666667
"1363",22133.2
"1364",1766.76666666667
"1365",0
"1366",0
"1367",7840.43333333333
"1368",28073.7666666667
"1369",20804.6333333333
"1370",25080.3333333333
"1371",32054.2333333333
"1372",30511.4
"1373",29599.3333333333
"1374",30910.4
"1375",21924.2666666667
"1376",30165.9
"1377",25174.2666666667
"1378",26863
"1379",33315.0666666667
"1380",27043.1666666667
"1381",26328.2
"1382",34564.7666666667
"1383",35585.3666666667
"1384",26605.4
"1385",16666.9
"1386",17456.3666666667
"1387",45231.4
"1388",32099.6333333333
"1389",28799.4
"1390",22586.6333333333
"1391",27814.8666666667
"1392",38220.6
"1393",39883.2
"1394",19388.2
"1395",15765.0666666667
"1396",21004.6333333333
"1397",24388.7666666667
"1398",20073.7
"1399",35878.3333333333
"1400",24607.1666666667
"1401",23053
"1402",19851.3666666667
"1403",21554.9666666667
"1404",42585.7666666667
"1405",28934.8
"1406",30090.1333333333
"1407",27896.9333333333
"1408",30425.6666666667
"1409",33701.6333333333
"1410",32442.2333333333
"1411",29559.8666666667
"1412",30613.7
"1413",33719.5666666667
"1414",33973.2
"1415",29123.0333333333
"1416",25162.4666666667
"1417",26367.2
"1418",27535.8666666667
"1419",26173.3333333333
"1420",36616.7666666667
"1421",15015.1666666667
"1422",34025.6
"1423",26292.2666666667
"1424",29937.4666666667
"1425",23852.7333333333
"1426",24801.7333333333
