"","Year","Month","variable","value"
"1","2007","01","All",1150287.16666667
"2","2007","02","All",941582.966666667
"3","2007","03","All",981042.9
"4","2007","04","All",586357.766666667
"5","2007","05","All",733481.2
"6","2007","06","All",595358.466666667
"7","2007","07","All",497091.2
"8","2007","08","All",568348.466666667
"9","2007","09","All",697997.9
"10","2007","10","All",821335.433333333
"11","2007","11","All",932037.366666667
"12","2007","12","All",1210092.1
"13","2008","01","All",1086230.6
"14","2008","02","All",822299.666666667
"15","2008","03","All",926536.633333333
"16","2008","04","All",803499.866666667
"17","2008","05","All",762082.6
"18","2008","06","All",715746.533333333
"19","2008","07","All",591304.966666667
"20","2008","08","All",205740.1
"21","2008","09","All",711129.866666667
"22","2008","10","All",846162.2
"23","2008","11","All",998917.2
"24","2008","12","All",949303.2
"25","2009","01","All",1049258.63333333
"26","2009","02","All",837615.433333333
"27","2009","03","All",912787.066666667
"28","2009","04","All",821280.4
"29","2009","05","All",753535.6
"30","2009","06","All",559033
"31","2009","07","All",459932.866666667
"32","2009","08","All",484606.733333333
"33","2009","09","All",710553.9
"34","2009","10","All",851489.533333333
"35","2009","11","All",917843.166666667
"36","2009","12","All",1015146.03333333
"37","2010","01","All",989760.333333333
"38","2010","02","All",924616.866666667
"39","2010","03","All",802598.3
"40","2010","04","All",739641.1
"41","2010","05","All",814902.833333333
"42","2010","06","All",698124.5
"43","2010","07","All",536506.766666667
"44","2010","08","All",368389.566666667
"45","2010","09","All",605157.066666667
"46","2010","10","All",865589.966666667
"47","2010","11","All",743306.466666667
"48","2007","01","Kitchen",56433
"49","2007","02","Kitchen",47584
"50","2007","03","Kitchen",60769
"51","2007","04","Kitchen",42078
"52","2007","05","Kitchen",75737
"53","2007","06","Kitchen",59673
"54","2007","07","Kitchen",43052
"55","2007","08","Kitchen",36251
"56","2007","09","Kitchen",52841
"57","2007","10","Kitchen",43218
"58","2007","11","Kitchen",50825
"59","2007","12","Kitchen",74090
"60","2008","01","Kitchen",61761
"61","2008","02","Kitchen",40231
"62","2008","03","Kitchen",63110
"63","2008","04","Kitchen",47080
"64","2008","05","Kitchen",53084
"65","2008","06","Kitchen",68728
"66","2008","07","Kitchen",47313
"67","2008","08","Kitchen",3873
"68","2008","09","Kitchen",52376
"69","2008","10","Kitchen",44093
"70","2008","11","Kitchen",58067
"71","2008","12","Kitchen",45109
"72","2009","01","Kitchen",74653
"73","2009","02","Kitchen",47098
"74","2009","03","Kitchen",64691
"75","2009","04","Kitchen",54506
"76","2009","05","Kitchen",43570
"77","2009","06","Kitchen",31362
"78","2009","07","Kitchen",18226
"79","2009","08","Kitchen",34023
"80","2009","09","Kitchen",51602
"81","2009","10","Kitchen",54728
"82","2009","11","Kitchen",60446
"83","2009","12","Kitchen",57801
"84","2010","01","Kitchen",53887
"85","2010","02","Kitchen",49270
"86","2010","03","Kitchen",35089
"87","2010","04","Kitchen",38196
"88","2010","05","Kitchen",48108
"89","2010","06","Kitchen",65747
"90","2010","07","Kitchen",17704
"91","2010","08","Kitchen",12499
"92","2010","09","Kitchen",36865
"93","2010","10","Kitchen",48199
"94","2010","11","Kitchen",46162
"95","2007","01","Laundry",79274
"96","2007","02","Laundry",64604
"97","2007","03","Laundry",104762
"98","2007","04","Laundry",38417
"99","2007","05","Laundry",72132
"100","2007","06","Laundry",69944
"101","2007","07","Laundry",55733
"102","2007","08","Laundry",49713
"103","2007","09","Laundry",75279
"104","2007","10","Laundry",87914
"105","2007","11","Laundry",73666
"106","2007","12","Laundry",82931
"107","2008","01","Laundry",62912
"108","2008","02","Laundry",56646
"109","2008","03","Laundry",79278
"110","2008","04","Laundry",70871
"111","2008","05","Laundry",58911
"112","2008","06","Laundry",63449
"113","2008","07","Laundry",44416
"114","2008","08","Laundry",22264
"115","2008","09","Laundry",44590
"116","2008","10","Laundry",63314
"117","2008","11","Laundry",55927
"118","2008","12","Laundry",39459
"119","2009","01","Laundry",72952
"120","2009","02","Laundry",50684
"121","2009","03","Laundry",48428
"122","2009","04","Laundry",52601
"123","2009","05","Laundry",50105
"124","2009","06","Laundry",29801
"125","2009","07","Laundry",42528
"126","2009","08","Laundry",38217
"127","2009","09","Laundry",46144
"128","2009","10","Laundry",53729
"129","2009","11","Laundry",53473
"130","2009","12","Laundry",53492
"131","2010","01","Laundry",56568
"132","2010","02","Laundry",53592
"133","2010","03","Laundry",60872
"134","2010","04","Laundry",36476
"135","2010","05","Laundry",52376
"136","2010","06","Laundry",47679
"137","2010","07","Laundry",34359
"138","2010","08","Laundry",26983
"139","2010","09","Laundry",32508
"140","2010","10","Laundry",60252
"141","2010","11","Laundry",42282
"142","2007","01","ACandHS",329611
"143","2007","02","ACandHS",270308
"144","2007","03","ACandHS",290361
"145","2007","04","ACandHS",189503
"146","2007","05","ACandHS",229448
"147","2007","06","ACandHS",188902
"148","2007","07","ACandHS",154825
"149","2007","08","ACandHS",225442
"150","2007","09","ACandHS",226409
"151","2007","10","ACandHS",256080
"152","2007","11","ACandHS",299708
"153","2007","12","ACandHS",362423
"154","2008","01","ACandHS",312192
"155","2008","02","ACandHS",255970
"156","2008","03","ACandHS",279688
"157","2008","04","ACandHS",295678
"158","2008","05","ACandHS",290622
"159","2008","06","ACandHS",290103
"160","2008","07","ACandHS",227228
"161","2008","08","ACandHS",79685
"162","2008","09","ACandHS",284282
"163","2008","10","ACandHS",276618
"164","2008","11","ACandHS",280735
"165","2008","12","ACandHS",308624
"166","2009","01","ACandHS",329623
"167","2009","02","ACandHS",296200
"168","2009","03","ACandHS",328733
"169","2009","04","ACandHS",307840
"170","2009","05","ACandHS",311049
"171","2009","06","ACandHS",259969
"172","2009","07","ACandHS",187936
"173","2009","08","ACandHS",192064
"174","2009","09","ACandHS",296615
"175","2009","10","ACandHS",327505
"176","2009","11","ACandHS",335548
"177","2009","12","ACandHS",383945
"178","2010","01","ACandHS",395949
"179","2010","02","ACandHS",411733
"180","2010","03","ACandHS",324352
"181","2010","04","ACandHS",336092
"182","2010","05","ACandHS",364626
"183","2010","06","ACandHS",306952
"184","2010","07","ACandHS",192912
"185","2010","08","ACandHS",160189
"186","2010","09","ACandHS",257861
"187","2010","10","ACandHS",315670
"188","2010","11","ACandHS",247113
"189","2007","01","Others",684969.166666667
"190","2007","02","Others",559086.966666667
"191","2007","03","Others",525150.9
"192","2007","04","Others",316359.766666667
"193","2007","05","Others",356164.2
"194","2007","06","Others",276839.466666667
"195","2007","07","Others",243481.2
"196","2007","08","Others",256942.466666667
"197","2007","09","Others",343468.9
"198","2007","10","Others",434123.433333333
"199","2007","11","Others",507838.366666667
"200","2007","12","Others",690648.1
"201","2008","01","Others",649365.6
"202","2008","02","Others",469452.666666667
"203","2008","03","Others",504460.633333333
"204","2008","04","Others",389870.866666667
"205","2008","05","Others",359465.6
"206","2008","06","Others",293466.533333333
"207","2008","07","Others",272347.966666667
"208","2008","08","Others",99918.1
"209","2008","09","Others",329881.866666667
"210","2008","10","Others",462137.2
"211","2008","11","Others",604188.2
"212","2008","12","Others",556111.2
"213","2009","01","Others",572030.633333333
"214","2009","02","Others",443633.433333333
"215","2009","03","Others",470935.066666667
"216","2009","04","Others",406333.4
"217","2009","05","Others",348811.6
"218","2009","06","Others",237901
"219","2009","07","Others",211242.866666667
"220","2009","08","Others",220302.733333333
"221","2009","09","Others",316192.9
"222","2009","10","Others",415527.533333333
"223","2009","11","Others",468376.166666667
"224","2009","12","Others",519908.033333333
"225","2010","01","Others",483356.333333333
"226","2010","02","Others",410021.866666667
"227","2010","03","Others",382285.3
"228","2010","04","Others",328877.1
"229","2010","05","Others",349792.833333333
"230","2010","06","Others",277746.5
"231","2010","07","Others",291531.766666667
"232","2010","08","Others",168718.566666667
"233","2010","09","Others",277923.066666667
"234","2010","10","Others",441468.966666667
"235","2010","11","Others",407749.466666667
